WhiskeyId,WhiskyName,Region
1,100 Pipers Blend,Blend
2,13th Colony Bourbon,Bourbon
3,15 Yr Speyside Liqueur ,Liqueur
4,1792  Ridgemont Reserve,Bourbon
5,1792 Ridgemont Reserve,Bourbon
6,1792 Single Barrel Select,Bourbon
7,1835 Bourbon,Bourbon
8,2013 World Whsky Day Blend,Blend
9,Aberfeldy 12,Highland 
10,"Aberfeldy 18 Cadenhead's , vintage 1997",Highland 
11,Aberfeldy 1991 G&M,Highland 
12,Aberfeldy 1994 Wemyss,Highland
13,Aberfeldy 1998 Signatory Vintage,Highland 
14,Aberfeldy 21,Highland 
15,Aberlour 10,Speyside
16,Aberlour 10 ,Speyside
17,Aberlour 11 Duncan Taylor NC2,Speyside
18,Aberlour 12 Double Cask Matured,Speyside
19,Aberlour 12 Double Cask Matured ,Speyside
20,Aberlour 12 Non Chill Filtered,Speyside
21,Aberlour 12 Non Chill Filtered  ,Speyside
22,Aberlour 12 Sherry Cask Matured,Speyside
23,"Aberlour 12 year (""Classic Cask"" bottling)",Speyside
24,Aberlour 15,Speyside
25,Aberlour 15 Cuvee Marie d'Ecosse,Speyside
26,Aberlour 15 Double Cask,Speyside
27,Aberlour 15 Select Cask Reserve,Speyside
28,Aberlour 16,Speyside
29,Aberlour 16 Double Cask Matured,Speyside
30,Aberlour 16 The Classic Cask,Speyside
31,Aberlour 16 Year Cask Strength,Speyside
32,Aberlour 17 Blackadder,Speyside
33,Aberlour 17 Cadenhead's,Speyside
34,Aberlour 17 Year Master of Malt,Speyside
35,Aberlour 18,Speyside
36,Aberlour 1987 Scott's Selection,Speyside
37,Aberlour 1992-2012 Berry Bros,Speyside
38,Aberlour 20 Darkness! Oloroso,Speyside
39,Aberlour 20 Darkness! PX,Speyside
40,Aberlour 25 Year Old 1988 Old Malt Cask Hunter laing,Speyside
41,Aberlour A'bunadh,Speyside
42,Aberlour A'bunadh batch #19,Speyside
43,Aberlour A'bunadh batch #26,Speyside
44,Aberlour A'bunadh batch #30,Speyside
45,Aberlour A'bunadh batch #32,Speyside
46,Aberlour A'bunadh batch #33 ,Speyside
47,Aberlour A'bunadh batch #34,Speyside
48,Aberlour A'bunadh batch #35,Speyside
49,Aberlour A'bunadh batch #36,Speyside
50,Aberlour A'bunadh batch #37,Speyside
51,Aberlour A'bunadh batch #38,Speyside
52,Aberlour A'bunadh batch #39,Speyside
53,Aberlour A'bunadh batch #40,Speyside
54,Aberlour A'bunadh batch #41,Speyside
55,Aberlour A'bunadh batch #42,Speyside
56,Aberlour A'bunadh batch #44,Speyside
57,Aberlour A'bunadh batch #45,Speyside
58,Aberlour A'bunadh batch #46,Speyside
59,Aberlour A'bunadh batch #47,Speyside
60,Aberlour Batch 2 - That Boutique-y Whisky Company,Speyside
61,Aberlour Moncreiffe,Speyside
62,Aberlour OMC Douglas Laing 1990,Speyside
63,Abhainn Dearg Single Malt,Island 
64,Abraham Bowman Cider Finish,Bourbon
65,Abraham Bowman Double Barrel Finish,Bourbon
66,Abraham Bowman Gingerbread Beer Finish,Bourbon
67,Abraham Bowman Port Finish,Bourbon
68,Adelphi Private Stock,Blend
69,Adelphi's Breath of Islay,Islay
70,Akashi White Oak 14,Japan
71,Akashi White Oak NAS,Japan
72,Alberta Premium,Canada
73,Alberta Premium ,Canada
74,Alberta Premium 25 year,Canada
75,Alberta Premium Dark Horse,Canada
76,Alberta Springs,Canada
77,Allt-a-Bhainne 21 Signatory CS,Speyside
78,American Prairie Reserve,Bourbon
79,Amrut 40%,India
80,Amrut Cask Strength,India
81,Amrut Fusion,India
82,Amrut Intermediate Sherry,India
83,Amrut Kadhambam,India
84,Amrut Peated,India
85,Amrut Peated Cask Strength,India
86,Amrut Portonova,India
87,Amrut Sherry Cask Blackadder Raw Cask ,India
88,Amrut Single Cask Peated Portpipe,India
89,Amrut Single Malt Whisky,India
90,Ancient Ancient Age 10 Star,Bourbon
91,Ancient Ancient Age 10 year,Bourbon
92,AnCnoc 12,Speyside
93,AnCnoc 16,Speyside
94,AnCnoc 1994,Speyside
95,AnCnoc 1996,Speyside
96,AnCnoc 22,Speyside
97,AnCnoc 35 Limited Edition,Speyside
98,AnCnoc Flaughter,Speyside
99,AnCnoc Peter Arkle 2nd Edition - Casks,Speyside
100,AnCnoc Rutter,Speyside
101,Angel's Envy,Bourbon
102,Angel's Envy Cask Strength,Bourbon
103,Angel's Envy Cask Strength 2013,Bourbon
104,Angel's Envy Private Selection,Bourbon
105,Angel's Envy Rye,Rye
106,Antiquary 12,Blend
107,Antiquity Rare,India
108,Ardbeg 10,Islay
109,Ardbeg 18 Single Cask,Islay
110,"Ardbeg 18, 1993 Mission Murray McDavid",Islay
111,Ardbeg 1977,Islay
112,Ardbeg 1993-2008 Cadenhead's,Islay
113,Ardbeg 21 PX Finish Darkness,Islay
114,Ardbeg 21 Sovereign,Islay
115,Ardbeg 21 Sovereign ,Islay
116,Ardbeg 27 year 1973 Old Malt Cask Douglas Laing,Islay
117,Ardbeg 32 year 1967 Old Malt Cask Douglas Laing,Islay
118,Ardbeg Airigh Nam Beist 1990,Islay
119,Ardbeg Alligator,Islay
120,Ardbeg Alligator ,Islay
121,Ardbeg Alligator first release,Islay
122,Ardbeg Ardbog,Islay
123,Ardbeg Auriverdes,Islay
124,Ardbeg Blasda,Islay
125,Ardbeg Corryvreckan,Islay
126,Ardbeg Corryvreckan ,Islay
127,Ardbeg Corryvrecken,Islay
128,Ardbeg Day,Islay
129,Ardbeg Day Committee Release,Islay
130,Ardbeg Galileo,Islay
131,Ardbeg Rollercoaster,Islay
132,Ardbeg SMWS 33.104,Islay
133,Ardbeg SMWS 33.109,Islay
134,Ardbeg SMWS 33.116,Islay
135,Ardbeg SMWS 33.122  ,Islay
136,Ardbeg SMWS 33.124,Islay
137,Ardbeg Supernova,Islay
138,Ardbeg Supernova ,Islay
139,Ardbeg Supernova 2009,Islay
140,Ardbeg Supernova 2010,Islay
141,Ardbeg Supernova 2014,Islay
142,Ardbeg Supernova Committee Release,Islay
143,Ardbeg Uigeadail,Islay
144,Ardbeg Uigeadail ,Islay
